[ 2017-10-03 21:45:02 41428 ] 内容 ： 【充值预警】Lgame06850784234286充值总额：4246.00元，总充值订单数：8单，充值设备：7台，充值IP：4个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 15:00:03 23371 ] 内容 ： 【充值预警】Lgame9270139充值总额：15108.00元，总充值订单数：51单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 15:00:03 23371 ] 内容 ： 【充值预警】l19840723充值总额：14256.00元，总充值订单数：22单，充值设备：1台，充值IP：3个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 15:00:03 23371 ] 内容 ： 【充值预警】liu3384773536充值总额：13966.00元，总充值订单数：23单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 15:00:03 23371 ] 内容 ： 【充值预警】Lgame05152236175631充值总额：10368.00元，总充值订单数：16单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 15:00:03 23371 ] 内容 ： 【充值预警】tm77889充值总额：3981.00元，总充值订单数：8单，充值设备：5台，充值IP：4个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-21 11:00:01 67593 ] 内容 ： 【充值预警】ksf071215充值总额：2702.00元，总充值订单数：6单，充值设备：5台，充值IP：3个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-25 15:30:02 68246 ] 内容 ： 【充值预警】Ls511505881299b310f充值总额：5844.00元，总充值订单数：10单，充值设备：6台，充值IP：6个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-25 22:30:05 23702 ] 内容 ： 【充值预警】Ls511505881299b310f充值总额：5844.00元，总充值订单数：10单，充值设备：6台，充值IP：6个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-25 22:30:05 23702 ] 内容 ： 【充值预警】Ls5115070188411eaaa充值总额：2642.00元，总充值订单数：5单，充值设备：5台，充值IP：5个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-26 17:00:02 42363 ] 内容 ： 【充值预警】qjy19890611充值总额：3240.00元，总充值订单数：5单，充值设备：5台，充值IP：5个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-28 09:30:02 30 ] 内容 ： 【充值预警】Lgame05271212776441充值总额：11712.00元，总充值订单数：20单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-30 13:15:03 2311 ] 内容 ： 【充值预警】Lgame04950471376431充值总额：3438.00元，总充值订单数：6单，充值设备：5台，充值IP：6个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-31 16:00:04 56266 ] 内容 ： 【充值预警】Lgame96342113充值总额：10048.00元，总充值订单数：16单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
